id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_ascii
27934,nice room with superb city view,120437,nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,2020-01-06,0.5,2,353,0,True
27979,"easy going landlord,easy place",120541,emy,Bang Na,13.66818,100.61674,Private room,1316,1,0,,,2,358,0,True
28745,modern-style apartment in bangkok,123784,familyroom,Bang Kapi,13.75232,100.62402,Private room,800,60,0,,,1,365,0,True
35780,spacious one bedroom at the kris condo bldg. 3,153730,sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,2,2022-04-01,0.03,1,323,1,True
941865,suite room 3 at metropoint,610315,kasem,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,,,3,365,0,True
1704776,new pro!!  bungalow bkk centre,2129668,wimonpak,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,2017-08-03,0.17,41,365,0,True
48736,condo with chaopraya river view,222005,athitaya,Rat Burana,13.68556,100.49535,Private room,1558,3,1,2014-02-03,0.01,1,365,0,True
1738669,1 chic bedroom apartment in bkk,7045870,jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,,,1,365,0,True
1744248,"batcave, pool view, near chatuchak",9181769,nol,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,2016-03-29,0.09,1,365,0,True
952677,standard room decor do hostel,5171292,somsak,Khlong San,13.7204,100.50757,Private room,700,2,4,2019-12-27,0.03,10,87,0,True
55681,sathorn terrace apartment(61),263049,tor,Bang Rak,13.71934,100.5176,Private room,1150,2,27,2019-01-03,0.19,7,320,0,True
1765918,2br apt in a cozy neighborhood,9279712,jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,2022-09-30,1.17,1,356,1,True
55686,comfy bedroom near river pier & bts  taksin.,263049,tor,Sathon,13.71802,100.51539,Hotel room,1862,2,208,2019-12-02,1.44,7,361,0,True
59221,budget hotel bangkok near subway,284095,mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2018-07-30,0.02,2,365,0,True
959254,"deluxe condo, nana, pool/gym/sauna",5153476,natcha,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,,,1,365,0,True
62217,luxury@swimpool/freewifi/nearjjmkt,302658,srisuk,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,,,1,365,0,True
1791481,nice and quiet condo near bts onnut,9399478,piyakorn,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,2019-05-31,0.78,1,330,0,True
